VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y
2997, 13939, -11.79022,  6.1732, -0.09503, -0.9056,  0.41255,  0.09846,  0.64389,  0.96431,  0.64389,  0.96431
2998, 2073, -11.59605,  6.44218,  0.56378, -0.9056,  0.41255,  0.09846,  0.70008,  0.96709,  0.70008,  0.96709
2999, 13940, -10.89788,  8.1093,  0.00, -0.9056,  0.41255,  0.09846,  0.74203,  0.81399,  0.74203,  0.81399
3000, 13941, -11.59605,  6.44218,  0.56378, -0.2869,  0.41253,  0.86458,  0.70008,  0.96709,  0.70008,  0.96709
3001, 2074, -10.9929,  6.17305,  0.89234, -0.2869,  0.41253,  0.86458,  0.74203,  0.9961,  0.74203,  0.9961
3002, 13942, -10.89788,  8.1093,  0.00, -0.2869,  0.41253,  0.86458,  0.74203,  0.81399,  0.74203,  0.81399
3003, 13943, -10.9929,  6.17305,  0.89234,  0.09838,  0.41253,  0.90562,  0.11798,  0.96795,  0.11798,  0.96795
3004, 2075, -10.33409,  6.44218,  0.69818,  0.09838,  0.41253,  0.90562,  0.16437,  0.96772,  0.16437,  0.96772
3005, 13944, -10.89788,  8.1093,  0.00,  0.09838,  0.41253,  0.90562,  0.215,  0.81732,  0.215,  0.81732
3006, 13945, -10.33409,  6.44218,  0.69818,  0.85367,  0.41851,  0.30998,  0.16437,  0.96772,  0.16437,  0.96772
3007, 2076, -10.00554,  6.21873,  0.09503,  0.85367,  0.41851,  0.30998,  0.215,  0.99562,  0.215,  0.99562
3008, 13946, -10.89788,  8.1093,  0.00,  0.85367,  0.41851,  0.30998,  0.215,  0.81732,  0.215,  0.81732
3009, 13947, -10.00554,  6.21873,  0.09503,  0.89981,  0.41851, -0.12324,  0.85389,  0.80985,  0.85389,  0.80985
3010, 2077, -10.1997,  6.44218, -0.56378,  0.89981,  0.41851, -0.12324,  0.807,  0.83757,  0.807,  0.83757
3011, 13948, -10.89788,  8.1093,  0.00,  0.89981,  0.41851, -0.12324,  0.85389,  0.98846,  0.85389,  0.98846
3012, 13949, -10.1997,  6.44218, -0.56378,  0.28783,  0.41278, -0.86416,  0.807,  0.83757,  0.807,  0.83757
3013, 2078, -10.80285,  6.17492, -0.89234,  0.28783,  0.41278, -0.86416,  0.75441,  0.83917,  0.75441,  0.83917
3014, 13950, -10.89788,  8.1093,  0.00,  0.28783,  0.41278, -0.86416,  0.85389,  0.98846,  0.85389,  0.98846
3015, 13951, -10.80285,  6.17492, -0.89234, -0.09939,  0.41278, -0.90539,  0.44586,  0.52167,  0.44586,  0.52167
3016, 13952, -11.46166,  6.44218, -0.69818, -0.09939,  0.41278, -0.90539,  0.39412,  0.55228,  0.39412,  0.55228
3017, 13953, -10.89788,  8.1093,  0.00, -0.09939,  0.41278, -0.90539,  0.44586,  0.70355,  0.44586,  0.70355
3018, 13954, -11.46166,  6.44218, -0.69818,  0.01267, -0.99992,  0.00082,  1.00,  0.89967,  1.00,  0.89967
3019, 13955, -10.80285,  6.17492, -0.89234,  0.01267, -0.99992,  0.00082,  0.96046,  0.85843,  0.96046,  0.85843
3020, 13956, -10.1997,  6.44218, -0.56378,  0.01267, -0.99992,  0.00082,  0.90449,  0.85817,  0.90449,  0.85817
3021, 13956, -10.1997,  6.44218, -0.56378,  0.01267, -0.99992,  0.00082,  0.90449,  0.85817,  0.90449,  0.85817
3022, 13957, -11.79022,  6.1732, -0.09503,  0.01267, -0.99992,  0.00082,  1.00,  0.95856,  1.00,  0.95856
3023, 13954, -11.46166,  6.44218, -0.69818,  0.01267, -0.99992,  0.00082,  1.00,  0.89967,  1.00,  0.89967
3024, 13956, -10.1997,  6.44218, -0.56378,  0.01267, -0.99992,  0.00082,  0.90449,  0.85817,  0.90449,  0.85817
3025, 13958, -10.00554,  6.21873,  0.09503,  0.01267, -0.99992,  0.00082,  0.86492,  0.89983,  0.86492,  0.89983
3026, 13957, -11.79022,  6.1732, -0.09503,  0.01267, -0.99992,  0.00082,  1.00,  0.95856,  1.00,  0.95856
3027, 13958, -10.00554,  6.21873,  0.09503,  0.01267, -0.99992,  0.00082,  0.86492,  0.89983,  0.86492,  0.89983
3028, 13959, -11.59605,  6.44218,  0.56378,  0.01267, -0.99992,  0.00082,  0.9604,  0.99977,  0.9604,  0.99977
3029, 13957, -11.79022,  6.1732, -0.09503,  0.01267, -0.99992,  0.00082,  1.00,  0.95856,  1.00,  0.95856
3030, 13958, -10.00554,  6.21873,  0.09503,  0.01267, -0.99992,  0.00082,  0.86492,  0.89983,  0.86492,  0.89983
3031, 13960, -10.33409,  6.44218,  0.69818,  0.01267, -0.99992,  0.00082,  0.86489,  0.95827,  0.86489,  0.95827
3032, 13959, -11.59605,  6.44218,  0.56378,  0.01267, -0.99992,  0.00082,  0.9604,  0.99977,  0.9604,  0.99977
3033, 13960, -10.33409,  6.44218,  0.69818,  0.01267, -0.99992,  0.00082,  0.86489,  0.95827,  0.86489,  0.95827
3034, 13961, -10.9929,  6.17305,  0.89234,  0.01267, -0.99992,  0.00082,  0.90446,  1.00,  0.90446,  1.00
3035, 13959, -11.59605,  6.44218,  0.56378,  0.01267, -0.99992,  0.00082,  0.9604,  0.99977,  0.9604,  0.99977
3036, 2080, -11.54212,  0.82209, -1.45181, -0.57349,  0.42334, -0.70135,  0.07066,  0.25095,  0.07066,  0.25095
3037, 2081, -12.38001,  1.1462, -0.57104, -0.57349,  0.42334, -0.70135,  0.00,  0.31922,  0.00,  0.31922
3038, 2088, -10.89788,  4.10002,  0.00, -0.57349,  0.42334, -0.70135,  0.17167,  0.5419,  0.17167,  0.5419
3039, 13962, -12.38001,  1.1462, -0.57104, -0.89471,  0.41905,  0.15458,  0.23915,  0.22308,  0.23915,  0.22308
3040, 2082, -12.34968,  0.76265,  0.64424, -0.89471,  0.41905,  0.15458,  0.30789,  0.29425,  0.30789,  0.29425
3041, 13963, -10.89788,  4.10002,  0.00, -0.89471,  0.41905,  0.15458,  0.4105,  0.00,  0.4105,  0.00
3042, 13964, -12.34968,  0.76265,  0.64424, -0.71493,  0.41905,  0.5597,  0.30789,  0.29425,  0.30789,  0.29425
3043, 2083, -11.46891,  1.1462,  1.48213, -0.71493,  0.41905,  0.5597,  0.4105,  0.28539,  0.4105,  0.28539
3044, 13965, -10.89788,  4.10002,  0.00, -0.71493,  0.41905,  0.5597,  0.4105,  0.00,  0.4105,  0.00
3045, 13966, -11.46891,  1.1462,  1.48213,  0.12059,  0.42648,  0.89642,  0.45573,  0.52601,  0.45573,  0.52601
3046, 2084, -10.25363,  0.86632,  1.45181,  0.12059,  0.42648,  0.89642,  0.51111,  0.58218,  0.51111,  0.58218
3047, 13967, -10.89788,  4.10002,  0.00,  0.12059,  0.42648,  0.89642,  0.61116,  0.29425,  0.61116,  0.29425
