VTX, IDX, POSITION.x, POSITION.y, POSITION.z, TEXCOORD0.x, TEXCOORD0.y
25708, 3246, -0.07875,  0.00249,  0.20156,  0.19903,  0.16084
25709, 3255, -0.10496,  0.0006,  0.20425,  0.20,  0.18604
25710, 3127, -0.10361,  0.02726,  0.20498,  0.18241,  0.18388
25711, 3135, -0.0787,  0.02966,  0.2018,  0.18059,  0.16137
25712, 3246, -0.07875,  0.00249,  0.20156,  0.19903,  0.16084
25713, 3240, -0.0574,  0.03238,  0.19744,  0.17609,  0.1418
25714, 3135, -0.0787,  0.02966,  0.2018,  0.18059,  0.16137
25715, 3133, -0.07676,  0.0538,  0.2008,  0.16527,  0.16036
25716, 3240, -0.0574,  0.03238,  0.19744,  0.17609,  0.1418
25717, 3133, -0.07676,  0.0538,  0.2008,  0.16527,  0.16036
25718, 3242, -0.05565,  0.05605,  0.19527,  0.16041,  0.14325
25719, 3242, -0.05565,  0.05605,  0.19527,  0.16041,  0.14325
25720, 3133, -0.07676,  0.0538,  0.2008,  0.16527,  0.16036
25721, 3134, -0.07432,  0.07622,  0.19726,  0.15196,  0.15954
25722, 3242, -0.05565,  0.05605,  0.19527,  0.16041,  0.14325
25723, 3134, -0.07432,  0.07622,  0.19726,  0.15196,  0.15954
25724, 3244, -0.05317,  0.07818,  0.19036,  0.14663,  0.14423
25725, 3131, -0.12777,  0.06544,  0.20326,  0.15777,  0.20242
25726, 3130, -0.16101,  0.05842,  0.20195,  0.15593,  0.22953
25727, 3145, -0.16086,  0.07322,  0.19961,  0.14535,  0.2279
25728, 3131, -0.12777,  0.06544,  0.20326,  0.15777,  0.20242
25729, 3145, -0.16086,  0.07322,  0.19961,  0.14535,  0.2279
25730, 3147, -0.12699,  0.08275,  0.19923,  0.14624,  0.20198
25731, 3131, -0.12777,  0.06544,  0.20326,  0.15777,  0.20242
25732, 3147, -0.12699,  0.08275,  0.19923,  0.14624,  0.20198
25733, 3254, -0.09738,  0.09219,  0.19558,  0.14231,  0.17643
25734, 3147, -0.12699,  0.08275,  0.19923,  0.14624,  0.20198
25735, 3148, -0.09521,  0.11428,  0.18404,  0.13035,  0.1767
25736, 3254, -0.09738,  0.09219,  0.19558,  0.14231,  0.17643
25737, 3148, -0.09521,  0.11428,  0.18404,  0.13035,  0.1767
25738, 3253, -0.07189,  0.09762,  0.18987,  0.13927,  0.15927
25739, 3254, -0.09738,  0.09219,  0.19558,  0.14231,  0.17643
25740, 3148, -0.09521,  0.11428,  0.18404,  0.13035,  0.1767
25741, 5021, -0.06833,  0.11823,  0.17823,  0.12758,  0.15833
25742, 3253, -0.07189,  0.09762,  0.18987,  0.13927,  0.15927
25743, 3250, -0.04822,  0.11861,  0.17118,  0.1243,  0.14412
25744, 3253, -0.07189,  0.09762,  0.18987,  0.13927,  0.15927
